Crop,Year,Region,Province,Yield (t/ha),Data source
Rice,1920,Central,Ayutthaya,1.866327817,Statistical Yearbook Thailand
Rice,1920,Central,Bangkok,1.882144437,Statistical Yearbook Thailand
Rice,1920,Eastern,Chanthaburi,1.293690521,Statistical Yearbook Thailand
Rice,1920,Eastern,Prachinburi,1.383507158,Statistical Yearbook Thailand
Rice,1920,Central,Ratchaburi,1.184341297,Statistical Yearbook Thailand
Rice,1920,Thailand,Total,1.695642659,Statistical Yearbook Thailand
Rice,1920,Northeastern,Nakhon Ratchasima,2.265613221,Statistical Yearbook Thailand
Rice,1920,Northeastern,Roi Et,1.557467905,Statistical Yearbook Thailand
Rice,1920,Northeastern,Udon Thani,2.049655449,Statistical Yearbook Thailand
Rice,1920,Thailand,Total,1.747731176,Statistical Yearbook Thailand
Rice,1920,Northern,Nakhon Sawan,1.397600372,Statistical Yearbook Thailand
Rice,1920,Northern,Phayao,2.64269693,Statistical Yearbook Thailand
Rice,1920,Northern,Phitsanulok,1.990631729,Statistical Yearbook Thailand
Rice,1920,Thailand,Total,2.123341604,Statistical Yearbook Thailand
Rice,1920,Southern,Nakhon Si Thammarat,2.544095388,Statistical Yearbook Thailand
Rice,1920,Southern,Pattani,1.322645575,Statistical Yearbook Thailand
Rice,1920,Southern,Phuket,2.115092737,Statistical Yearbook Thailand
Rice,1920,Thailand,Total,2.04600591,Statistical Yearbook Thailand
Rice,1920,Thailand,Total,1.814499131,Statistical Yearbook Thailand
Rice,1921,Central,Ayutthaya,1.803928842,Statistical Yearbook Thailand
Rice,1921,Central,Bangkok,1.351478666,Statistical Yearbook Thailand
Rice,1921,Eastern,Chanthaburi,1.75299302,Statistical Yearbook Thailand
Rice,1921,Eastern,Prachinburi,1.260880115,Statistical Yearbook Thailand
Rice,1921,Central,Ratchaburi,1.776634517,Statistical Yearbook Thailand
Rice,1921,Thailand,Total,1.613671367,Statistical Yearbook Thailand
Rice,1921,Northeastern,Nakhon Ratchasima,1.853574004,Statistical Yearbook Thailand
Rice,1921,Northeastern,Roi Et,1.399898259,Statistical Yearbook Thailand
Rice,1921,Northeastern,Udon Thani,1.729594265,Statistical Yearbook Thailand
Rice,1921,Thailand,Total,1.612747581,Statistical Yearbook Thailand
Rice,1921,Northern,Nakhon Sawan,1.357032434,Statistical Yearbook Thailand
Rice,1921,Northern,Phayao,2.516948837,Statistical Yearbook Thailand
Rice,1921,Northern,Phitsanulok,1.662607128,Statistical Yearbook Thailand
Rice,1921,Thailand,Total,1.883365998,Statistical Yearbook Thailand
Rice,1921,Southern,Nakhon Si Thammarat,2.061998183,Statistical Yearbook Thailand
Rice,1921,Southern,Pattani,1.556202874,Statistical Yearbook Thailand
Rice,1921,Southern,Phuket,0.994866703,Statistical Yearbook Thailand
Rice,1921,Thailand,Total,1.788511267,Statistical Yearbook Thailand
Rice,1921,Thailand,Total,1.673855336,Statistical Yearbook Thailand
Rice,1922,Central,Ayutthaya,1.787988195,Statistical Yearbook Thailand
Rice,1922,Central,Bangkok,1.441115011,Statistical Yearbook Thailand
Rice,1922,Eastern,Chanthaburi,1.163442443,Statistical Yearbook Thailand
Rice,1922,Eastern,Prachinburi,1.360647421,Statistical Yearbook Thailand
Rice,1922,Central,Ratchaburi,1.870177131,Statistical Yearbook Thailand
Rice,1922,Thailand,Total,1.63695474,Statistical Yearbook Thailand
Rice,1922,Northeastern,Nakhon Ratchasima,1.847477039,Statistical Yearbook Thailand
Rice,1922,Northeastern,Roi Et,1.415880312,Statistical Yearbook Thailand
Rice,1922,Northeastern,Udon Thani,1.733891256,Statistical Yearbook Thailand
Rice,1922,Thailand,Total,1.667908917,Statistical Yearbook Thailand
Rice,1922,Northern,Nakhon Sawan,1.520201777,Statistical Yearbook Thailand
Rice,1922,Northern,Phayao,2.4496507,Statistical Yearbook Thailand
Rice,1922,Northern,Phitsanulok,1.642904068,Statistical Yearbook Thailand
Rice,1922,Thailand,Total,1.925111474,Statistical Yearbook Thailand
Rice,1922,Southern,Nakhon Si Thammarat,1.771315944,Statistical Yearbook Thailand
Rice,1922,Southern,Pattani,1.305250865,Statistical Yearbook Thailand
Rice,1922,Southern,Phuket,1.709784152,Statistical Yearbook Thailand
Rice,1922,Thailand,Total,1.67851223,Statistical Yearbook Thailand
Rice,1922,Thailand,Total,1.700098175,Statistical Yearbook Thailand
Rice,1923,Central,Ayutthaya,1.594148606,Statistical Yearbook Thailand
Rice,1923,Central,Bangkok,1.44495464,Statistical Yearbook Thailand
Rice,1923,Eastern,Chanthaburi,1.135431304,Statistical Yearbook Thailand
Rice,1923,Eastern,Prachinburi,1.190774138,Statistical Yearbook Thailand
Rice,1923,Central,Ratchaburi,1.472792738,Statistical Yearbook Thailand
Rice,1923,Thailand,Total,1.463195456,Statistical Yearbook Thailand
