Region,Monthon (before 1931),Province (After 1931)
Northern,Bayab,Chiang Mai
Northern,Bayab,Lamphun
Northern,Bayab,Chiang Rai
Northern,Bayab,Mae Hong Son
Eastern,Chantaburi,Rayong
Eastern,Chantaburi,Chanthaburi
Eastern,Chantaburi,Trat
Southern,Chumphon,Surat Thani
Southern,Chumphon,Chumphon
Central,Krung Kao,Ayutthaya
Central,Krung Kao,Ang Thong
Central,Krung Kao,Lopburi
Central,Krung Kao,Singburi
Central,Krung Kao,Saraburi
Central,Krung Thep Maha Nakhon,Bangkok
Central,Krung Thep Maha Nakhon,Samut Prakan
Central,Krung Thep Maha Nakhon,Nonthaburi
Central,Krung Thep Maha Nakhon,Pathum Thani
Northern,Maharat,Lampang
Northern,Maharat,Phrae
Northern,Maharat,Nan
Northeastern,Nakhon Ratchasima,Nakhon Ratchasima
Northeastern,Nakhon Ratchasima,Buriram
Northeastern,Nakhon Ratchasima,Chaiyaphum
Southern,Nakhon Si Thammarat,Nakhon Si Thammarat
Southern,Nakhon Si Thammarat,Krabi
Southern,Nakhon Si Thammarat,Songkhla
Southern,Nakhon Si Thammarat,Phatthalung
Central,Nakorn Chaisi,Suphanburi
Central,Nakorn Chaisi,Nakhon Pathom
Central,Nakorn Chaisi,Samut Sakhon
Central,Nakorn Sawan,Chainat
Northern,Nakorn Sawan,Nakhon Sawan
Northern,Nakorn Sawan,Uthai Thani
Northern,Nakorn Sawan,Kamphaeng Phet
Northern,Nakorn Sawan,Tak
Southern,Pattani,Pattani
Southern,Pattani,Yala
Southern,Pattani,Narathiwat
Northern,Phayao,Phayao
Northern,Phetchabun,Phetchabun
Northern,Phisanulok,Uttaradit
Northern,Phisanulok,Sukhothai
Northern,Phisanulok,Phitsanulok
Northern,Phisanulok,Phichit
Southern,Phuket,Phang Nga
Southern,Phuket,Phuket
Southern,Phuket,Ranong
Southern,Phuket,Satun
Southern,Phuket,Trang
Central,Prachinburi,Sa Kaeo
Eastern,Prachinburi,Chonburi
Eastern,Prachinburi,Chachoengsao
Eastern,Prachinburi,Prachinburi
Central,Ratchaburi,Ratchaburi
Central,Ratchaburi,Kanchanaburi
Central,Ratchaburi,Samut Songkhram
Central,Ratchaburi,Prachuap Khiri Khan
Central,Ratchaburi,Phetchaburi
Eastern,Ratchaburi,Nakhon Nayok
Northeastern,Roi Et,Yasothon
Northeastern,Roi Et,Maha Sarakham
Northeastern,Roi Et,Roi Et
Northeastern,Roi Et,Kalasin
Northeastern,Ubon Ratchathani,Surin
Northeastern,Ubon Ratchathani,Si Sa Ket
Northeastern,Ubon Ratchathani,Ubon Ratchathani
Northeastern,Ubon Ratchathani,Amnat Charoen
Northeastern,Udon Thani,Nong Bua Lam Phu
Northeastern,Udon Thani,Khon Kaen
Northeastern,Udon Thani,Udon Thani
Northeastern,Udon Thani,Loei
Northeastern,Udon Thani,Nong Khai
Northeastern,Udon Thani,Sakon Nakhon
Northeastern,Udon Thani,Nakhon Phanom
Northeastern,Udon Thani,Mukdahan
,,
,,
,,
,,
