Region,Ancient name,Modern name (province)
Northern,Bayab,Mae Hong sorn
Northern,Bayab,Chiang Mai
Northern,Bayab,Chiang Rai
Northern,Phayao,Phayao
Northern,Maharat,Nan
Northern,Maharat,Phrae
Northern,Maharat,Lampang
Northern,Phisanulok,Uttaradit
Northern,Phisanulok,Sukhothai
Northern,Phisanulok,Phichit
Northern,Phetchabun,Phetchabun
Northern,Nakorn Sawan,Tak
Northern,Nakorn Sawan,Kamphaeng Phet
Northern,Nakorn Sawan,Nakorn Sawan
Northern,Nakorn Sawan,Uthaithani
Central,Nakorn Sawan,Chainat
Central,Krung Kao,Ang Thong
Central,Krung Kao,Ayuttaya
Central,Krung Kao,Pathum Thani
Central,Krung Kao,Singburi
Central,Krung Kao,Lopburi
Central,Krung Kao,Saraburi
Central,Krung Thep Maha Nakhon,Pathum Thani
Central,Krung Thep Maha Nakhon,Samut Prakan
Central,Krung Thep Maha Nakhon,Bangkok
Central,Krung Thep Maha Nakhon,Nonthaburi
Central,Bangkok,Bangkok
Central,Ayutthaya,Ayuttaya
Central,Nakorn Chaisi,Samut Sakhon
Central,Nakorn Chaisi,Nakhon Pathom
Central,Nakorn Chaisi,Suphanburi
Central,Ratchaburi,Kanchanaburi
Central,Ratchaburi,Prachuap Khiri Khan
Central,Ratchaburi,Phetchaburi
Central,Ratchaburi,Ratchaburi
Northeastern,Udon Thani,Loei
Northeastern,Udon Thani,Udon Thani
Northeastern,Udon Thani,Khon Kaen
Northeastern,Udon Thani,Sakon Nakhon
Northeastern,Udon Thani,Nakhon Phanom
Northeastern,Udon Thani,Nongbua Lamphu
Northeastern,Udon Thani,Bueng Kan
Northeastern,Roi Et,Kalasin
Northeastern,Roi Et,Maha Sarakham
Northeastern,Roi Et,Yasothon
Northeastern,Roi Et,Roi Et
Northeastern,Ubon Ratchathani,Ubon Ratchathani
Northeastern,Ubon Ratchathani,Sisaket
Northeastern,Ubon Ratchathani,Surin
Northeastern,Nakhon Ratchsima,Chaiyaphum
Northeastern,Nakhon Ratchsima,Nakhon Ratchasima
Northeastern,Nakhon Ratchsima,Buriram
Eastern,Prachinburi,Chachoengsao
Eastern,Prachinburi,Nakhon Nayok
Eastern,Prachinburi,Prachinburi
Eastern,Chantaburi,Rayong
Eastern,Chantaburi,Chantaburi
Eastern,Chantaburi,Trat
Eastern,Chantaburi,Chonburi
Southern,Surat,Chumphon
Southern,Surat,Surat Thani
Southern,Nakhon Si Thammarat,Nakhon Si Thammarat
Southern,Nakhon Si Thammarat,Songkhla
Southern,Nakhon Si Thammarat,Phatthalung
Southern,Patani,Pattani
Southern,Patani,Yala
Southern,Patani,Narathiwat
Southern,Phuket,Ranong
Southern,Phuket,Phang Nga
Southern,Phuket,Phuket
Southern,Chumphon,Chumphon
Southern,Chumphon,Surat Thani
